Palabras Spam No_spam Total
lov 0 1 1
lovable 0 9 9
love 7 106 113
loved 0 7 7
lovejen 0 2 2
lovely 0 10 10
loveme 0 2 2
lover 2 6 8
loverboy 0 3 3
lovers 0 2 2
loves 0 3 3
lovin 0 1 1
loving 0 6 6
lovingly 0 1 1
low 1 1 2
lower 0 1 1
loxahatchee 0 2 2
loyalty 5 0 5
ltd 9 0 9
lttrs 0 1 1
luck 3 2 5
luckily 0 1 1
lucky 3 9 12
lucozade 1 0 1
lucy 1 0 1
lucyxx 0 1 1
luks 0 1 1
lul 0 1 1
lunch 0 25 25
lunchtime 0 1 1
luton 0 1 1
luv 5 18 23
luvd 0 1 1
luvs 0 1 1
lux 2 0 2
luxury 1 0 1
lvblefrnd 0 2 2
lyf 0 1 1
lyfu 0 1 1
lying 0 1 1
lyk 0 2 2
maaaan 0 1 1
maangalyam 0 1 1
mac 0 2 2
macedonia 1 0 1
macha 0 1 1
machan 0 2 2
machi 0 1 1
machines 0 1 1
mack 0 1 1
macs 0 1 1
mad 1 2 3
madam 0 2 2
made 1 18 19
madodu 0 1 1
madoke 0 1 1
madstini 0 1 1
madurai 0 1 1
mag 0 1 1
maga 0 2 2
maggi 0 1 1
magic 0 1 1
magical 0 3 3
magicalsongs 0 1 1
mah 0 10 10
mahal 0 1 1
mahaveer 0 1 1
maid 0 6 6
mail 0 20 20
mailbox 2 0 2
mails 0 2 2
main 0 1 1
maintain 0 2 2
major 0 2 2
make 7 50 57
makes 0 13 13
makiing 0 1 1
makin 0 1 1
making 0 20 20
malaria 0 1 1
malarky 0 1 1
male 1 0 1
mall 0 1 1
mallika 0 1 1
man 0 32 32
manage 0 1 1
management 0 3 3
manda 0 4 4
mandan 0 2 2
mandy 1 0 1
maneesha 0 2 2
manege 0 1 1
maniac 1 0 1
manual 0 1 1
many 3 28 31
map 0 3 3
maps 0 1 1
maraikara 0 1 1
march 0 10 10
maretare 0 1 1
margaret 0 1 1
marine 0 1 1
mark 0 4 4
market 0 1 1
marketing 1 0 1
marking 0 1 1
marley 1 0 1
marrge 0 1 1
marriage 0 6 6
married 2 3 5
marrow 0 1 1
marry 0 4 4
marsms 1 0 1
maruti 0 1 1
mary 0 1 1
mas 0 4 4
massage 0 1 1
massages 0 1 1
masteriastering 0 1 1
masters 0 1 1
mat 1 0 1
match 4 3 7
matched 1 0 1
matches 5 0 5
mate 0 6 6
mates 7 0 7
math 0 1 1
mathe 0 1 1
mathematics 0 1 1
matra 0 1 1
matric 0 1 1
matrix 3 0 3
matter 0 4 4
matters 0 1 1
matthew 1 0 1
matured 0 3 3
max 5 0 5
maximize 6 0 6
may 6 29 35
mayb 0 4 4
maybe 0 20 20
mca 0 1 1
mcat 0 2 2
mcfly 1 0 1
mcr 0 1 1
meal 0 3 3
mean 0 12 12
meaning 0 2 2
meaningful 0 1 1
meaningless 0 1 1
means 0 16 16
meant 0 12 12
meanwhile 0 3 3
measure 0 1 1
meat 0 1 1
mecause 0 1 1
med 2 0 2
medical 0 4 4
medicine 0 1 1
meds 0 1 1
mee 0 1 1
meet 6 47 53
meetin 0 2 2
meeting 0 25 25
meetins 1 0 1
meets 0 1 1
meh 0 6 6
mei 0 1 1
meive 0 1 1
mel 0 2 2
melle 0 3 3
melnite 0 1 1
melody 0 1 1
member 5 1 6
members 2 0 2
membership 1 1 2
memorable 0 1 1
memory 0 1 1
men 2 4 6
mental 0 1 1
mention 0 1 1
mentioned 0 1 1
mentionned 0 1 1
menu 1 4 5
meow 0 1 1
merememberin 0 1 1
merry 0 8 8
mess 0 1 1
message 20 37 57
messaged 0 2 2
messages 10 8 18
messaging 2 0 2
messed 0 1 1
messenger 0 2 2
messy 0 2 2
met 1 9 10
mia 0 1 1
mid 2 4 6
middle 0 1 1
midnight 1 4 5
mids 0 2 2
might 0 26 26
miiiiiiissssssssss 0 1 1
mike 0 1 1
miles 0 2 2
milk 0 3 3
millers 0 1 1
million 1 0 1
millions 0 1 1
milta 0 1 1
min 21 16 37
minapn 1 0 1
mind 0 31 31
minded 1 0 1
mindset 0 1 1
mine 0 8 8
minecraft 0 1 1
mini 1 1 2
minimum 0 1 1
minmobsmore 1 0 1
minmobsmorelkpobox 3 0 3
minmoremobsemspobox 2 0 2
minnaminunginte 0 3 3
mins 22 6 28
mint 0 1 1
minus 0 1 1
minute 4 8 12
minutes 2 15 17
minuts 0 4 4
miracle 0 6 6
mirror 0 1 1
misbehaved 0 2 2
misplaced 0 1 1
miss 6 45 51
misscall 0 1 1
missed 1 14 15
missin 0 2 2
missing 0 10 10
missionary 0 1 1
missions 0 1 1
misss 0 1 1
missunderstding 0 1 1
missy 0 1 1
mist 0 1 1
mistake 1 5 6
mite 0 4 4
mitsake 0 1 1
mittelschmertz 0 1 1
mix 2 0 2
mmm 0 2 2
mmmm 0 1 1
mmmmm 0 1 1
mmmmmm 0 1 1
mmsto 1 0 1
moan 1 4 5
mob 17 0 17
mobile 63 6 69
mobiles 8 0 8
mobilesdirect 3 0 3
mobilesvary 2 0 2
mobileupd 10 0 10
mobno 2 0 2
mobs 1 0 1
mobsi 1 0 1
moby 2 0 2
mobypobox 1 0 1
mode 0 7 7
model 0 4 4
modl 0 1 1
module 0 1 1
modules 0 1 1
mofo 0 1 1
moji 0 2 2
mojibiola 0 1 1
molested 0 1 1
mom 0 8 8
moment 0 4 4
moments 0 2 2
moms 0 4 4
mon 0 5 5
monday 0 7 7
money 2 33 35
monkeespeople 0 1 1
monkey 0 1 1
monkeyaround 0 1 1
monkeys 0 2 2
mono 2 0 2
monoc 1 0 1
monos 1 0 1
monster 0 1 1
month 6 19 25
monthly 1 2 3
monthlysubscription 1 0 1
months 2 7 9
mood 0 4 4
moon 1 3 4
moral 0 4 4
more 19 46 65
morefrmmob 1 0 1
morn 0 3 3
mornin 0 1 1
morning 0 51 51
mornings 0 1 1
moro 1 3 4
morow 1 1 2
morphine 0 1 1
morro 1 0 1
morrow 0 2 2
moseley 0 1 1
most 1 17 18
mostly 0 2 2
mother 0 4 4
motive 0 1 1
motorola 7 0 7
mouth 0 2 2
move 0 8 8
moved 0 2 2
moves 0 2 2
movie 1 12 13
movies 0 6 6
movietrivia 2 0 2
mrng 0 8 8
mrt 0 5 5
mrw 0 2 2
msg 38 37 75
msging 0 2 2
msgrcvd 1 0 1
msgrcvdhg 2 0 2
msgs 8 7 15
msn 0 1 1
mth 1 0 1
mths 9 0 9
mtmsg 3 0 3
mtmsgrcvd 2 0 2
much 1 66 67
muchand 0 1 1
mudyadhu 0 1 1
multis 0 1 1
mum 0 13 13
mummy 0 2 2
mundhe 0 1 1
munsters 2 0 2
murali 0 1 1
murder 0 6 6
murdered 0 6 6
murderer 0 6 6
mus 0 1 1
mush 0 1 1
mushy 0 1 1
music 12 2 14
musical 0 1 1
musicnews 1 0 1
must 4 17 21
musthu 0 2 2
mutai 0 1 1
mutations 0 1 1
muz 0 5 5
mwahs 0 1 1
mycalls 0 1 1
mylife 0 1 1
mymoby 1 0 1
myparents 0 1 1
mys 0 1 1
myself 0 8 8
mystery 1 1 2
naal 0 1 1
nag 0 2 2
nagar 0 1 1
nah 0 8 8
nahi 0 1 1
naked 1 5 6
nalla 0 1 1
nalli 0 1 1
name 10 18 28
named 0 2 2
names 2 0 2
nammanna 0 1 1
namous 0 1 1
nan 0 1 1
nange 0 1 1
nanny 0 1 1
nap 0 2 2
narcotics 0 1 1
nasdaq 1 0 1
naseeb 0 1 1
nasty 1 1 2
national 14 0 14
natural 0 3 3
nature 0 4 4
natwest 0 1 1
naughty 0 4 4
nauseous 0 1 1
nav 0 1 1
ndship 0 1 1
near 0 7 7
nearby 0 1 1
nearer 0 1 1
nearly 1 2 3
necessarily 0 1 1
necessary 0 1 1
necessity 0 1 1
neck 0 1 1
necklace 0 2 2
ned 0 2 2
need 4 95 99
needa 0 1 1
needed 0 2 2
needing 0 1 1
needle 0 1 1
needs 1 7 8
needy 0 1 1
neft 0 2 2
neglect 0 1 1
neglet 0 1 1
neighbor 0 1 1
neighbors 0 1 1
neighbour 0 3 3
neither 0 1 1
nelson 0 1 1
neo 1 0 1
nervous 0 1 1
neshanth 0 1 1
net 10 6 16
netcollex 1 0 1
netflix 0 1 1
nething 0 1 1
network 13 4 17
networking 0 1 1
networks 2 0 2
neva 0 9 9
nevamind 0 1 1
never 1 23 24
nevering 0 1 1
neville 0 1 1
new 41 41 82
neway 0 1 1
newest 2 0 2
newquay 0 1 1
news 7 7 14
newscaster 0 1 1
newsletter 1 0 1
newspapers 0 1 1
next 9 24 33
nhite 0 1 1
nic 0 2 2
nice 0 37 37
nichols 1 1 2
nick 1 0 1
nickey 0 1 1
nig 0 1 1
nigeria 0 5 5
night 2 63 65
nights 1 3 4
nigpun 0 1 1
nigro 0 1 1
nike 0 1 1
nikiyu 1 0 1
nimya 0 4 4
ninish 0 1 1
nino 0 1 1
nipost 0 1 1
nit 0 1 1
nite 4 12 16
nitros 0 1 1
nitz 0 1 1
nnfwfly 1 0 1
nobbing 0 1 1
nobody 0 6 6
noe 0 12 12
noisy 0 1 1
nok 2 0 2
nokia 35 0 35
nokias 1 0 1
noline 2 0 2
non 0 1 1
noncomittal 0 1 1
none 0 4 4
nookii 1 0 1
noon 0 9 9
nope 0 10 10
nor 0 1 1
nora 0 1 1
nordstrom 0 1 1
norm 5 1 6
normal 1 6 7
normally 0 2 2
northpton 0 1 1
nos 1 1 2
nosh 0 1 1
nosy 0 1 1
not 20 245 265
note 0 1 1
notebook 0 1 1
nothin 0 1 1
nothing 2 21 23
notice 2 3 5
notifications 1 0 1
notified 1 0 1
notixiquating 0 1 1
noun 0 2 2
novelty 0 1 1
now 124 182 306
nowadays 0 2 2
nowhere 0 1 1
nri 0 1 1
nte 0 1 1
ntimate 0 1 1
ntt 9 0 9
ntwk 1 0 1
nuclear 0 1 1
nudist 0 1 1
nuerologist 0 1 1
num 0 3 3
number 14 37 51
numbers 5 1 6
nursery 0 1 1
nurses 0 1 1
nurungu 0 3 3
nus 0 2 2
nutter 0 1 1
nver 0 1 1
nvm 0 1 1
nvq 0 1 1
nxt 0 4 4
nyc 0 2 2
nydc 0 2 2
nyt 3 6 9
oath 0 1 1
obedient 0 1 1
obese 0 1 1
obey 0 1 1
objection 0 1 1
oble 0 1 1
oblisingately 0 1 1
obviously 0 3 3
occasion 0 1 1
occupied 0 1 1
occupy 0 1 1
occur 0 1 1
ocean 0 1 1
oclock 0 1 1
october 0 1 1
odalebeku 0 1 1
odi 0 2 2
off 2 31 33
offc 0 1 1
offcampus 0 1 1
offdam 0 1 1
offer 19 5 24
offered 0 1 1
offering 1 0 1
offers 8 1 9
office 1 22 23
official 1 1 2
officially 0 2 2
offline 0 1 1
ofice 0 1 1
ofsi 0 1 1
ofstuff 0 1 1
often 0 2 2
ogunrinde 0 1 1
oic 0 2 2
oil 0 1 1
okay 0 20 20
okden 0 1 1
okey 0 1 1
okie 0 10 10
okies 0 1 1
okmail 1 0 1
ola 0 2 2
olage 0 1 1
old 2 8 10
oli 0 1 1
ollu 0 1 1
olol 0 1 1
olowoyey 0 1 1
olympics 1 0 1
omg 0 3 3
omw 0 5 5
onam 0 1 1
onbus 0 1 1
once 0 24 24
ondu 0 1 1
one 7 94 101
ones 0 4 4
oni 0 2 2
onion 0 1 1
online 0 11 11
onluy 0 1 1
only 56 75 131
onto 3 0 3
onum 0 1 1
onwards 0 2 2
ooh 0 1 1
oooh 0 1 1
oooooh 0 1 1
oops 0 6 6
open 1 8 9
opened 0 1 1
openin 0 1 1
opening 0 2 2
operate 0 1 1
operator 9 0 9
opinion 0 6 6
opinions 1 1 2
opportunity 0 4 4
opposed 0 1 1
opps 0 1 1
opt 13 0 13
opted 0 1 1
optimistic 0 1 1
optin 1 0 1
option 0 2 2
optout 15 0 15
oral 0 1 1
orange 16 3 19
oranges 1 0 1
orc 0 1 1
orchard 0 5 5
order 8 5 13
ordered 2 1 3
ordinator 0 1 1
ore 0 1 1
oredi 0 10 10
oreo 0 2 2
oreos 0 1 1
organise 0 1 1
organizer 0 1 1
orig 1 0 1
original 1 1 2
orno 1 0 1
ors 0 1 1
oru 0 3 3
oscar 0 1 1
oso 0 16 16
other 4 28 32
others 0 5 5
otherwise 0 7 7
otside 0 1 1
our 48 40 88
ours 0 1 1
out 43 132 175
outbid 1 0 1
outfit 0 1 1
outfor 0 1 1
outgoing 1 0 1
outl 0 1 1
outrageous 0 1 1
outreach 0 1 1
outside 0 11 11
outstanding 0 1 1
outta 0 1 1
ovarian 0 1 1
oveable 0 1 1
over 14 36 50
overa 0 1 1
overdose 0 1 1
overheating 0 1 1
overtime 0 1 1
ovr 0 1 1
ovulation 0 2 2
owe 0 1 1
owl 0 1 1
own 0 5 5
owned 0 1 1
owns 0 2 2
owo 0 1 1
oyea 0 1 1
paces 0 1 1
pack 0 2 2
package 1 2 3
packing 0 1 1
packs 1 0 1
padhe 0 1 1
page 1 4 5
pages 0 2 2
pai 0 1 1
paid 1 2 3
pain 0 20 20
painful 0 2 2
paining 0 1 1
painting 0 2 2
pairs 0 1 1
pale 0 1 1
palm 0 1 1
pan 0 1 1
panasonic 1 0 1
pandy 0 1 1
panic 0 1 1
panicks 0 1 1
panren 0 1 1
pansy 0 1 1
pap 0 1 1
papa 0 1 1
paper 0 7 7
papers 0 1 1
paperwork 0 1 1
paracetamol 0 1 1
parachute 0 1 1
paragon 0 1 1
paragraphs 0 1 1
paranoid 0 1 1
parchi 0 1 1
parco 0 2 2
parents 0 8 8
paris 2 0 2
park 1 7 8
parked 0 3 3
parkin 0 1 1
part 7 10 17
participate 0 1 1
particular 0 1 1
particularly 0 1 1
partner 4 0 4
partnership 0 2 2
parts 0 1 1
party 0 7 7
paru 0 1 1
pases 0 1 1
pass 3 5 8
passable 0 1 1
passed 0 2 2
passion 1 0 1
passionate 0 4 4
password 3 2 5
past 0 5 5
patent 0 1 1
path 0 1 1
pathaya 0 1 1
paths 0 1 1
pattern 0 1 1
patty 0 2 2
pavanaputra 0 1 1
pax 0 1 1
pay 1 23 24
payasam 0 1 1
payback 0 1 1
payed 0 2 2
payee 0 2 2
paying 0 6 6
payment 0 1 1
payments 0 1 1
payoh 0 3 3
paypal 0 1 1
pdate 1 0 1
peace 0 3 3
peaceful 0 2 2
peak 1 0 1
pears 0 1 1
pee 0 1 1
peeps 0 1 1
pehle 0 1 1
pei 0 1 1
pen 0 2 2
pence 2 0 2
pending 0 2 2
penis 0 1 1
people 2 29 31
peoples 0 1 1
per 31 11 42
percent 2 0 2
percentages 0 1 1
perfect 1 3 4
performance 0 1 1
performed 0 1 1
perhaps 0 1 1
peril 0 1 1
period 0 2 2
peripherals 0 1 1
permanent 0 1 1
permission 0 1 1
permissions 0 1 1
perpetual 0 1 1
person 0 24 24
personal 1 2 3
personality 0 3 3
personally 0 1 1
persons 0 6 6
pert 0 1 1
perwksub 2 0 2
pes 0 1 1
pest 0 1 1
pete 1 5 6
petey 0 1 1
petrol 0 1 1
petticoatdreams 1 0 1
pharmacy 0 1 1
phasing 0 1 1
phb 1 0 1
phd 0 1 1
phews 0 1 1
phil 0 1 1
philosophical 0 1 1
philosophy 0 2 2
phne 0 1 1
phoenix 1 0 1
phone 32 47 79
phoned 0 1 1
phones 7 1 8
photo 2 3 5
photos 0 4 4
php 2 0 2
phyhcmk 0 1 1
piah 0 1 1
pic 8 5 13
pick 1 42 43
picked 0 3 3
picking 0 10 10
pickle 0 2 2
pics 9 5 14
picsfree 1 0 1
picture 0 1 1
pictures 0 4 4
pie 0 2 2
piece 0 2 2
pieces 0 3 3
pierre 0 1 1
pig 0 2 2
piggy 0 1 1
pilates 0 3 3
pile 0 1 1
pillows 0 1 1
pimples 0 1 1
pin 1 2 3
pink 0 1 1
pissed 0 3 3
pix 3 1 4
pizza 0 5 5
place 4 36 40
placed 0 1 1
places 0 2 2
plaid 0 1 1
plan 0 17 17
plane 0 3 3
planet 0 1 1
planned 0 1 1
planning 0 5 5
plans 0 6 6
plate 0 1 1
platt 0 1 1
play 11 12 23
played 2 1 3
player 10 2 12
players 0 2 2
playing 0 3 3
playng 0 1 1
plaza 0 2 2
pleasant 0 1 1
please 37 40 77
pleased 3 1 4
pleassssssseeeeee 0 1 1
pleasure 0 5 5
plenty 0 3 3
plm 0 2 2
ploughing 0 1 1
pls 6 59 65
plumbers 0 1 1
plumbing 0 1 1
plural 0 1 1
plus 6 10 16
plyr 1 0 1
plz 0 12 12
pmmorefrommobile 1 0 1
pobox 27 0 27
poboxox 1 0 1
pocketbabe 3 0 3
pockets 0 1 1
pocy 0 1 1
pod 3 0 3
poem 0 2 2
poet 0 1 1
point 1 10 11
points 7 2 9
poker 0 1 1
poking 0 1 1
pokkiri 0 1 1
pole 1 0 1
police 0 3 3
politicians 0 1 1
poly 8 0 8
polyc 1 0 1
polyph 2 0 2
polyphonic 2 0 2
polys 4 0 4
pongal 0 4 4
ponnungale 0 1 1
pooja 0 1 1
pookie 0 1 1
poop 0 1 1
poor 0 4 4
poortiyagi 0 1 1
pop 0 1 1
popcorn 0 1 1
popped 0 2 2
popping 0 1 1
porn 3 0 3
porridge 0 1 1
portal 0 1 1
pos 0 1 1
pose 0 1 1
posh 1 0 1
posible 0 1 1
position 0 2 2
positions 0 1 1
possessive 0 1 1
possessiveness 0 1 1
possible 0 5 5
possibly 0 1 1
post 2 11 13
postal 0 1 1
postcard 0 2 2
postcode 2 0 2
posted 0 4 4
postponed 0 1 1
posts 1 0 1
potato 0 2 2
potential 0 2 2
potter 1 0 1
pouch 0 1 1
pound 5 0 5
pounds 12 1 13
poured 0 1 1
pours 0 1 1
pouts 0 1 1
power 0 5 5
poyyarikatur 0 1 1
ppermesssubscription 2 0 2
ppl 0 3 3
pple 0 4 4
ppm 34 0 34
ppmsg 1 0 1
ppmx 6 0 6
ppt 1 0 1
ppw 2 0 2
prabha 0 2 2
prabu 0 1 1
pract 0 1 1
practical 0 2 2
practice 0 2 2
practicing 0 1 1
practicum 0 1 1
practising 0 1 1
praises 0 1 1
prakesh 0 1 1
praps 0 1 1
prasad 0 1 1
prashanthettan 0 1 1
pray 0 6 6
prayers 0 1 1
praying 0 1 1
pre 1 1 2
predict 0 1 1
predicting 0 1 1
prediction 0 1 1
prefer 0 3 3
preferably 0 2 2
prem 1 0 1
premarica 0 1 1
premier 2 0 2
premium 1 0 1
prepaid 0 2 2
prepare 0 2 2
prepared 0 2 2
prepayment 1 0 1
preschoolco 0 1 1
prescripiton 1 0 1
prescription 0 1 1
presence 1 0 1
present 0 2 2
presleys 1 0 1
press 1 9 10
pressies 0 1 1
pressure 0 1 1
prestige 0 1 1
pretend 0 1 1
pretsorginta 0 1 1
pretsovru 0 1 1
pretty 0 5 5
prevent 0 1 1
previews 0 1 1
previously 3 0 3
prey 0 2 2
price 11 3 14
prices 0 1 1
priest 0 1 1
prince 0 1 1
princess 0 21 21
printed 0 2 2
printer 0 1 1
printing 0 1 1
prior 0 1 1
priority 0 1 1
priscilla 0 1 1
privacy 1 1 2
private 9 1 10
prix 0 1 1
priya 0 1 1
prize 53 0 53
prizes 1 0 1
prizeswith 1 0 1
pro 1 0 1
prob 0 11 11
probably 0 20 20
problem 0 21 21
problematic 0 1 1
problems 0 3 3
problum 0 1 1
probs 0 2 2
probthat 0 1 1
process 0 5 5
prods 1 0 1
products 0 1 1
professional 1 0 1
professors 0 2 2
profiles 0 1 1
profit 1 1 2
program 0 1 1
programs 0 1 1
progress 0 1 1
project 0 9 9
projects 0 1 1
prominent 0 1 1
promise 0 6 6
promised 1 0 1
promises 0 2 2
promo 1 0 1
promptly 0 1 1
prompts 1 0 1
prone 0 1 1
proof 0 2 2
proove 0 1 1
properly 0 1 1
property 0 1 1
propose 0 1 1
props 0 1 1
propsd 0 1 1
pros 0 1 1
prospects 0 3 3
prove 0 1 1
proverb 0 1 1
provided 3 0 3
provider 0 1 1
province 0 1 1
psychiatrist 0 1 1
psychic 1 0 1
psychologist 0 1 1
ptbo 0 2 2
pthis 0 1 1
pub 1 9 10
public 0 3 3
publish 0 1 1
pudunga 0 1 1
pull 0 1 1
pulling 0 1 1
pulls 0 1 1
pump 0 1 1
punch 0 1 1
punish 0 1 1
punj 0 1 1
pura 0 1 1
purchase 2 1 3
purity 0 3 3
purple 0 1 1
purpose 3 0 3
purse 0 1 1
push 0 1 1
pushes 0 1 1
pussy 0 1 1
put 1 19 20
puttin 0 1 1
putting 0 5 5
puzzeles 0 1 1
puzzles 0 1 1
qatar 0 4 4
qing 0 1 1
qjkgighjjgcbl 1 0 1
qlynnbv 1 0 1
quality 1 2 3
que 0 1 1
queen 0 3 3
ques 0 1 1
question 4 10 14
questioned 0 3 3
questions 4 5 9
quick 0 4 4
quickly 0 3 3
quiet 0 1 1
quit 0 4 4
quite 0 19 19
quiz 13 0 13
quizclub 1 0 1
quizzes 0 1 1
quote 0 3 3
quoting 3 0 3
qxj 2 0 2
racal 1 0 1
racing 0 2 2
radio 0 2 2
raed 0 1 1
rael 0 1 1
raiden 0 1 1
railway 0 3 3
rain 0 8 8
raining 0 3 3
raise 0 1 1
raised 0 1 1
raj 0 1 1
raji 0 2 2
rajini 0 1 1
rajnikant 0 1 1
rakhesh 0 6 6
raksha 0 1 1
rally 1 0 1
ralphs 0 1 1
ramaduth 0 1 1
ran 0 3 3
random 0 2 2
randomlly 0 1 1
randomly 0 1 1
randy 2 0 2
rang 0 2 2
range 0 1 1
ranjith 0 2 2
raping 0 1 1
rate 18 1 19
rates 4 0 4
rather 0 5 5
ratio 0 1 1
raviyog 0 1 1
rawring 0 1 1
rays 0 4 4
rcb 0 1 1
rcd 1 0 1
rct 1 0 1
rcv 3 0 3
rcvd 7 0 7
reach 5 18 23
reache 0 1 1
reached 0 5 5
reaching 0 3 3
reacting 0 1 1
reaction 0 2 2
read 1 10 11
readers 1 0 1
readiness 0 1 1
reading 0 10 10
ready 2 22 24
real 10 16 26
realised 0 1 1
reality 2 1 3
realize 1 1 2
realized 0 1 1
realizes 0 1 1
really 1 53 54
reallyneed 0 1 1
realy 0 4 4
reason 0 8 8
reasons 0 2 2
reboot 0 1 1
rebtel 0 1 1
rec 0 1 1
recd 4 0 4
receipt 3 2 5
receive 19 5 24
receivea 1 0 1
received 1 1 2
receiving 0 1 1
recent 3 0 3
recently 0 4 4
reception 0 1 1
recession 0 2 2
recharge 0 2 2
recharged 0 1 1
recieve 1 0 1
reckon 0 1 1
recognise 0 2 2
recognises 0 1 1
record 0 3 3
records 1 0 1
recovery 0 1 1
recycling 0 1 1
red 1 3 4
redeemable 1 0 1
redeemed 5 0 5
ref 2 0 2
reference 2 3 5
references 0 1 1
refilled 0 2 2
reflection 0 1 1
reflex 0 1 1
reformat 0 1 1
refreshed 0 1 1
refund 0 1 1
refunded 1 0 1
refused 3 0 3
reg 0 1 1
regalportfolio 1 0 1
regarding 0 2 2
regards 0 3 3
register 1 1 2
registered 3 3 6
registration 0 1 1
regret 0 3 3
regular 1 2 3
rejected 0 1 1
related 0 1 1
relation 0 1 1
relatives 0 1 1
relax 0 1 1
relaxing 0 1 1
released 0 2 2
reliant 0 1 1
relieved 0 1 1
reltnship 0 1 1
rem 0 2 2
remain 0 2 2
remains 0 2 2
remb 0 1 1
remember 0 23 23
remembered 0 3 3
rememberi 0 1 1
remembr 0 2 2
remembrs 0 1 1
remind 0 3 3
reminded 0 1 1
reminder 1 1 2
reminding 0 2 2
reminds 0 1 1
remixed 0 1 1
removal 1 0 1
remove 2 4 6
removed 1 1 2
renewal 1 0 1
rent 0 6 6
rental 6 0 6
rentl 2 0 2
rents 0 1 1
repair 0 1 1
repairs 0 1 1
repent 0 1 1
replacement 0 2 2
replacing 0 1 1
replied 1 4 5
reply 57 29 86
replying 3 2 5
replys 1 0 1
report 0 2 2
reppurcussions 0 1 1
representative 6 0 6
republic 0 1 1
request 1 4 5
requests 1 1 2
requirements 0 1 1
requires 0 1 1
research 0 4 4
resend 0 1 1
reservations 0 1 1
reserve 0 1 1
reserved 0 1 1
reserves 0 1 1
reset 0 1 1
residency 0 1 1
resizing 0 1 1
reslove 0 1 1
resolution 0 1 1
respect 0 4 4
responce 0 2 2
respond 1 2 3
responding 1 2 3
response 1 1 2
responsibility 0 2 2
responsible 1 0 1
rest 0 7 7
restaurant 0 2 2
restock 0 1 1
restocked 0 1 1
restrictions 1 0 1
resubbing 0 1 1
resubmit 1 0 1
result 0 3 3
results 3 0 3
resume 0 1 1
retard 0 1 1
retired 0 1 1
retrieve 2 0 2
return 1 3 4
returned 0 3 3
returning 0 1 1
returns 0 3 3
reunion 0 1 1
reveal 7 0 7
revealed 2 0 2
reverse 0 1 1
review 4 0 4
revision 0 2 2
reward 3 0 3
rewarding 0 1 1
rgds 1 1 2
rgent 1 0 1
rhythm 0 1 1
rice 0 2 2
rich 0 2 2
ridden 0 1 1
ride 0 2 2
right 1 52 53
rightio 0 1 1
rightly 0 1 1
rights 0 1 1
riley 0 1 1
rimac 0 1 1
ring 2 9 11
ringing 0 1 1
rings 1 0 1
ringtone 15 0 15
ringtoneking 1 0 1
ringtones 3 0 3
rinu 0 1 1
rise 0 1 1
risks 0 1 1
rite 0 9 9
river 0 2 2
road 0 5 5
roads 0 3 3
roast 0 3 3
rob 0 1 1
robs 0 1 1
rock 0 6 6
rocks 0 2 2
rodds 1 0 1
rodger 1 0 1
rofl 0 2 2
roger 0 2 2
role 0 3 3
roles 0 1 1
rolled 0 1 1
romantic 1 3 4
romcaps 1 0 1
ron 0 3 3
room 0 26 26
roommate 0 3 3
roommates 0 2 2
rooms 1 1 2
ros 0 1 1
rose 0 4 4
roses 1 0 1
rough 0 1 1
round 0 4 4
rounds 0 1 1
row 11 2 13
rowdy 0 1 1
rpl 1 0 1
rply 3 5 8
rstm 1 0 1
rto 0 1 1
rub 0 1 1
rubber 0 1 1
rude 3 1 4
rudi 0 1 1
rugby 0 1 1
ruin 0 1 1
ruining 0 1 1
rule 0 1 1
rules 0 1 1
rum 0 2 2
rummer 0 1 1
rumour 0 2 2
run 0 17 17
running 1 2 3
runs 0 3 3
rupaul 0 1 1
rush 0 2 2
ruthful 0 1 1
rvx 0 1 1
rwm 1 0 1
ryan 0 1 1
ryder 0 1 1
sac 0 1 1
sachin 0 3 3
sacked 0 1 1
sacrifice 0 1 1
sad 0 13 13
sae 11 0 11
saeed 0 1 1
safe 0 7 7
safely 0 1 1
safety 0 1 1
said 0 56 56
sake 0 1 1
salam 0 1 1
salary 0 3 3
sale 2 3 5
sales 0 2 2
salon 0 2 2
sam 3 2 5
samachara 0 1 1
samantha 0 1 1
sambar 0 1 1
same 0 28 28
samus 0 1 1
sang 1 0 1
sankatmochan 0 1 1
sankranti 0 1 1
sao 0 1 1
sapna 0 1 1
sar 0 1 1
sara 1 0 1
sarcasm 0 2 2
sarcastic 0 1 1
sariyag 0 1 1
sary 0 2 2
sat 0 20 20
satanic 0 1 1
sathy 0 1 1
satisfied 0 2 2
satisfy 1 0 1
satsgettin 0 1 1
saturday 3 7 10
saucy 3 0 3
sausage 0 1 1
savamob 7 0 7
save 2 4 6
saved 0 2 2
saw 0 13 13
say 1 59 60
sayhey 0 1 1
sayin 0 1 1
saying 0 13 13
says 0 13 13
sayy 0 1 1
scammers 1 0 1
scarcasim 0 1 1
scared 0 2 2
scary 0 2 2
scenery 0 1 1
sch 0 11 11
schedule 0 2 2
school 0 13 13
schools 0 2 2
science 0 2 2
scold 0 1 1
scorable 0 1 1
score 0 2 2
scores 0 1 1
scoring 1 0 1
scotch 0 2 2
scotland 1 2 3
scrappy 0 1 1
scratches 0 1 1
scratching 0 1 1
scream 0 5 5
screamed 0 2 2
screaming 0 5 5
screen 0 3 3
screwd 0 1 1
scrounge 0 2 2
scrumptious 0 1 1
